id,offspring_year,offspring_age_class,n_offspring,parent_type,parent_year,parent_age_class
Uts_12A_036,18,A,1,sire,12,A
Uts_12A_036,13,0y,35,sire,12,A
Uts_12A_036,14,1y,5,sire,12,A
Uts_12A_036,15,2y,2,sire,12,A
Uts_12A_017,17,A,2,sire,12,A
Uts_12A_017,13,0y,15,sire,12,A
Uts_12A_017,14,1y,4,sire,12,A
Uts_12A_017,14,2y,1,sire,12,A
Uts_11A_25,17,A,1,sire,11,A
Uts_11A_25,12,0y,1,sire,11,A
Uts_13A_009,18,A,1,sire,13,A
Uts_13A_009,14,0y,17,sire,13,A
Uts_13A_009,15,1y,4,sire,13,A
Uts_13A_023,18,A,2,sire,13,A
Uts_13A_023,14,0y,30,sire,13,A
Uts_13A_023,15,1y,2,sire,13,A
Uts_13A_023,16,3y,2,sire,13,A
Uts_13A_036,18,A,1,sire,13,A
Uts_13A_036,14,0y,4,sire,13,A
Uts_13A_036,15,1y,2,sire,13,A
Uts_13A_036,16,2y,1,sire,13,A
Uts_13A_036,16,3y,1,sire,13,A
Uts_11A_34,18,A,2,sire,11,A
Uts_11A_34,18,0y,1,sire,11,A
Uts_11A_34,12,0y,1,sire,11,A
Uts_11A_34,14,0y,68,sire,11,A
Uts_11A_34,15,1y,18,sire,11,A
Uts_11A_34,16,3y,1,sire,11,A
Uts_12A_016,18,A,1,sire,12,A
Uts_12A_016,13,0y,20,sire,12,A
Uts_12A_016,14,1y,1,sire,12,A
Uts_13_0y_1002,18,A,1,sire,13,0y
Uts_14A_073,18,A,1,sire,14,A
Uts_14A_073,15,0y,1,sire,14,A
Uts_14A_073,16,1y,1,sire,14,A
Uts_12A_007,18,A,1,sire,12,A
Uts_12A_007,13,0y,10,sire,12,A
Uts_12A_007,14,1y,1,sire,12,A
Uts_13A_056,18,A,1,sire,13,A
Uts_13A_056,18,1y,13,sire,13,A
Uts_13A_056,14,0y,17,sire,13,A
Uts_13A_056,15,1y,1,sire,13,A
Uts_13A_056,17,0y,21,sire,13,A
Uts_13A_056,19,1y,1,sire,13,A
