id,dam,sire,birth_year,gender
gp*73,NA,NA,0,unknown
gp*175,NA,NA,0,unknown
gp*181,NA,NA,0,unknown
gp#186,NA,NA,2,unknown
gp*134,NA,NA,0,unknown
gp*17,NA,NA,0,unknown
gp#160,NA,NA,2,unknown
gp*178,NA,NA,0,unknown
gp*187,NA,NA,0,unknown
gp#197,NA,NA,2,unknown
gp*105,NA,NA,0,unknown
gp#102,NA,NA,2,unknown
gp#112,NA,NA,2,unknown
gp*14,NA,NA,0,unknown
gp#14,NA,NA,2,unknown
gp#65,NA,NA,2,unknown
gp*72,NA,NA,0,unknown
gp*94,NA,NA,0,unknown
gp*127,NA,NA,0,unknown
gp#75,NA,NA,2,unknown
gp*62,NA,NA,0,unknown
gp#15,NA,NA,2,unknown
gp#57,NA,NA,2,unknown
gp*15,NA,NA,0,unknown
gp*183,NA,NA,0,unknown
gp#128,NA,NA,2,unknown
gp*82,NA,NA,0,unknown
gp*19,NA,NA,0,unknown
gp#59,NA,NA,2,unknown
gp*48,NA,NA,0,unknown
gp#181,NA,NA,2,unknown
gp#200,NA,NA,2,unknown
gp#20,NA,NA,2,unknown
gp*185,NA,NA,0,unknown
gp#90,NA,NA,2,unknown
gp*182,NA,NA,0,unknown
gp#28,NA,NA,2,unknown
gp*28,NA,NA,0,unknown
gp*107,NA,NA,0,unknown
gp*184,NA,NA,0,unknown
gp*190,NA,NA,0,unknown
gp*174,NA,NA,0,unknown
gp#177,NA,NA,2,unknown
gp*20,NA,NA,0,unknown
gp#21,NA,NA,2,unknown
gp#182,NA,NA,2,unknown
gp#68,NA,NA,2,unknown
gp*110,NA,NA,0,unknown
gp*74,NA,NA,0,unknown
gp*37,NA,NA,0,unknown
gp*176,NA,NA,0,unknown
gp#180,NA,NA,2,unknown
gp*83,NA,NA,0,unknown
gp#77,NA,NA,2,unknown
gp#85,NA,NA,2,unknown
gp#170,NA,NA,2,unknown
gp*192,NA,NA,0,unknown
gp#104,NA,NA,2,unknown
gp*33,NA,NA,0,unknown
gp#24,NA,NA,2,unknown
