OffspID,Dam,Sire,DamOrigin,SireOrigin,DamNatalPop,SireNatalPop
Uts_14_0y_0955,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0956,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0957,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0958,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0959,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0960,Uts_13A_065,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_0961,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0962,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0963,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0964,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0965,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0966,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0967,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0968,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0969,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0970,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_0972,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0973,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0974,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0975,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0976,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0977,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0979,Uts_13A_065,Uts_13A_043,local,local,TenoMainstem,TenoMainstem
Uts_14_0y_0980,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0981,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0982,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0983,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0984,usF2013,Uts_13A_063,NA,local,NA,TenoMainstem
Uts_14_0y_0985,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0986,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0987,usF2013,Uts_13A_063,NA,local,NA,TenoMainstem
Uts_14_0y_0988,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0989,usF2013,Uts_13A_056,NA,local,NA,TenoMainstem
Uts_14_0y_0990,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0991,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0992,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0993,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0994,usF2013,Uts_13A_050,NA,local,NA,TenoMainstem
Uts_14_0y_0995,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0996,usF2013,Uts_13A_028,NA,local,NA,TenoMainstem
Uts_14_0y_0997,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_0998,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_0999,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_1000,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1001,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_1002,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_1003,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1004,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1005,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1006,Uts_13A_033,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_1007,Uts_13A_039,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_1009,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
Uts_14_0y_1010,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_1011,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1012,usF2013,Uts_13A_043,NA,local,NA,TenoMainstem
Uts_14_0y_1013,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1014,usF2013,Uts_13A_056,NA,local,NA,TenoMainstem
Uts_14_0y_1015,usF2013,Uts_13A_063,NA,local,NA,TenoMainstem
Uts_14_0y_1016,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1017,usF2013,NA,NA,NA,NA,NA
Uts_14_0y_1018,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_1019,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1020,NA,NA,NA,NA,NA,NA
Uts_14_0y_1021,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1022,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_1023,usF2013,Uts_13A_024,NA,local,NA,TenoMainstem
Uts_14_0y_1024,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1025,usF2013,Uts_13A_063,NA,local,NA,TenoMainstem
Uts_14_0y_1026,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1027,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1028,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1029,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1030,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1031,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1032,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1033,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1034,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1035,NA,usM2013,NA,NA,NA,NA
Uts_14_0y_1036,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1037,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1038,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1039,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1040,usF2013,Uts_13A_050,NA,local,NA,TenoMainstem
Uts_14_0y_1041,usF2013,Uts_13A_028,NA,local,NA,TenoMainstem
Uts_14_0y_1042,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1043,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1044,usF2013,usM2013,NA,NA,NA,NA
Uts_14_0y_1045,Uts_13A_047,usM2013,local,NA,TenoMainstem,NA
